Participant;Category;Device;Order;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Point1;Point1;Point1;Point1;Point1;Point1;Point1;Point1;Point2;Point2;Point2;Point2;Point2;Point2;Point2;Point2;Point3;Point3;Point3;Point3;Point3;Point3;Point3;Point3;Point4;Point4;Point4;Point4;Point4;Point4;Point4;Point4
;;;;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out
P11;02-Intermediate;Smartphone;Desktop-Smartphone;;;;1;2;;;;;;;10;4;;1;;;;;2;;;1;;;;20;7;;1;;;;18;3;;5;3;;;;8;3;;1;;;;;12;5;;3;1;;;;9;;;2;;;;;3;;;2;
P12;02-Intermediate;Smartphone;Smartphone-Desktop;;;;5;4;;;;;;;20;10;;6;3;;;;27;8;;5;4;;;23;8;;2;;;;39;17;;4;3;;;;7;2;;2;;;;;9;1;;3;;;;;6;;;2;;;;;9;;;2;
P13;02-Intermediate;Smartphone;Desktop-Smartphone;;2;2;1;1;;;;;3;3;4;4;;2;;;;1;13;1;;2;1;1;1;9;2;3;2;;2;2;25;2;12;2;;5;1;1;4;;;2;;5;1;1;8;1;;5;;6;1;1;3;;;2;;8;2;2;2;;1;1;
P14;02-Intermediate;Smartphone;Smartphone-Desktop;;;1;11;2;;1;;2;;1;15;;2;2;1;;;1;14;4;;2;1;;1;12;5;10;;;1;2;69;23;5;1;2;5;;1;10;;;3;1;6;;1;16;;;4;1;6;1;1;8;;;2;2;9;;1;3;;1;1;
P15;02-Intermediate;Smartphone;Desktop-Smartphone;;;;4;3;;;;;1;1;5;4;;2;;;1;1;82;40;;6;6;1;1;14;4;4;2;1;2;3;12;4;4;2;1;6;2;2;8;1;1;2;;5;1;1;10;;;3;;5;1;1;5;;;1;;6;2;3;6;1;1;1;
P16;02-Intermediate;Smartphone;Smartphone-Desktop;;;1;2;5;;;;;1;2;12;1;;1;;;1;1;14;7;;1;;;1;27;7;11;2;1;;1;10;2;10;;;5;;1;5;;;2;;5;;1;11;;;3;1;5;;1;6;;;2;;4;;1;4;;;2;1
P17;02-Intermediate;Smartphone;Desktop-Smartphone;;;;2;3;;;;;;;7;6;;1;;;;;16;5;;2;1;;;20;7;;3;2;;;38;16;;5;4;;;;9;2;;3;1;;;;10;;;4;1;;;;16;;;2;;;;;12;;;2;
P18;02-Intermediate;Smartphone;Smartphone-Desktop;;;1;4;3;;1;;;1;1;6;4;;2;;;;1;15;4;;3;4;;;17;5;;2;3;2;2;22;8;2;3;2;5;1;1;4;;;3;;5;1;1;3;;;2;;5;1;1;1;;;1;;4;1;1;3;;;1;
P19;02-Intermediate;Smartphone;Desktop-Smartphone;;;1;;;;;;5;4;4;4;;5;;;;;1;5;;;1;;3;2;4;;8;2;;2;2;7;1;6;2;;5;;1;4;;;2;;7;;1;5;;2;2;;6;;1;3;;1;1;;7;;1;4;;2;1;
P22;02-Intermediate;Smartphone;Smartphone-Desktop;;;1;7;5;;3;;1;3;3;12;4;1;4;1;;1;1;17;8;;3;;;1;12;1;14;1;1;;1;5;4;1;;;;1;1;11;;;4;1;;1;1;16;;;2;;;1;1;9;1;;2;;;;;12;;;2;
P23;02-Intermediate;Smartphone;Desktop-Smartphone;;;;8;3;;3;1;;;;7;3;;4;;;;;54;29;;7;3;;;32;15;;6;2;;1;42;20;;2;1;;;;22;2;;5;2;;;;37;1;;5;2;;;;29;;;4;2;;;;57;1;;2;
